Dte;Barri;AEB;SC;Electors;Votants;Abstencio;Nuls;Votsvalids;Blancs;TriasxBCN;PSC-CP;BCOMU-C;ERC-AM;PP;VOX;CUP-AMUNT;VALENTS;Cs;PACMA;BCNETSTU;EV-AV;EB;NOVAPRIMARIES;PC-LV;FNC;PCTC;AIREs-LaIzquierda;PH;PFiV;UNIDOSSI;SOMI;JES-UEP;PTDCERV;Partitmesvotat
2;8;38;88;1138;755;383;6;749;1;268;102;126;65;76;38;23;19;3;6;10;2;4;5;0;0;0;0;0;1;0;0;0;0;TriasxBCN
2;8;38;89;1156;679;477;6;673;17;178;109;153;58;73;30;20;13;4;2;6;2;2;3;1;1;0;0;0;0;1;0;0;0;TriasxBCN
2;8;38;90;1020;677;343;5;672;3;198;89;162;60;49;33;27;15;8;5;7;3;2;9;0;1;0;0;1;0;0;0;0;0;TriasxBCN
2;8;39;91;1182;733;449;5;728;3;190;112;208;59;45;35;28;18;10;5;9;1;1;3;0;0;0;0;0;1;0;0;0;0;BCOMU-C
2;8;39;92;1050;663;387;12;651;10;156;99;175;61;47;33;32;13;11;5;4;0;0;1;1;0;1;2;0;0;0;0;0;0;BCOMU-C
2;8;40;93;1087;694;393;4;690;9;203;94;148;69;56;36;20;25;4;7;13;4;1;0;1;0;0;0;0;0;0;0;0;0;TriasxBCN
2;8;40;94;967;624;343;5;619;5;198;91;140;64;50;16;15;14;5;4;6;4;1;1;2;3;0;0;0;0;0;0;0;0;TriasxBCN
2;8;40;95;1033;666;367;2;664;3;191;100;176;72;43;29;15;13;5;4;6;0;1;3;0;3;0;0;0;0;0;0;0;0;TriasxBCN
2;8;40;96;905;540;365;7;533;3;144;80;142;60;41;15;22;17;4;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;TriasxBCN
2;8;40;97;703;428;275;3;425;7;121;61;88;54;40;14;18;7;0;7;2;1;0;0;0;3;0;0;2;0;0;0;0;0;TriasxBCN
2;8;41;98;953;611;342;2;609;8;192;82;143;69;35;21;19;12;11;7;6;0;1;0;0;1;0;1;0;1;0;0;0;0;TriasxBCN
2;8;41;99;1061;705;356;4;701;6;206;89;149;91;74;37;17;11;6;5;6;3;0;0;0;1;0;0;0;0;0;0;0;0;TriasxBCN
2;8;41;100;952;664;288;3;661;5;190;96;121;91;63;37;23;13;7;4;5;1;0;3;1;0;1;0;0;0;0;0;0;0;TriasxBCN
2;8;41;101;1462;931;531;1;930;9;326;142;177;88;75;36;27;18;6;8;4;4;2;1;3;2;0;1;0;0;0;0;0;1;TriasxBCN
2;8;42;102;1022;686;336;4;682;1;249;90;105;79;69;33;13;20;10;3;3;0;1;3;0;3;0;0;0;0;0;0;0;0;TriasxBCN
2;8;42;103;1042;621;421;6;615;8;163;91;151;75;61;17;14;14;5;5;6;1;2;0;0;0;1;0;0;1;0;0;0;0;TriasxBCN
2;8;42;104;822;585;237;8;577;5;204;87;88;74;44;23;12;16;4;3;0;2;6;4;0;3;0;1;0;1;0;0;0;0;TriasxBCN
2;8;42;105;1329;804;525;7;797;6;260;122;143;82;56;31;34;29;9;6;10;5;0;2;1;0;0;1;0;0;0;0;0;0;TriasxBCN
2;8;43;106;922;633;289;6;627;6;233;107;90;58;60;32;13;13;3;2;1;4;2;0;2;0;0;1;0;0;0;0;0;0;TriasxBCN
